sample_idx,sample_id,video_id,query,gt_start,gt_end,pred_start,pred_end,iou,actual_duration,iou_bucket,dist_to_05
0,3MSZA_000000,3MSZA,person turn a light on.,24.3,30.4,21.0,25.66666603088379,0.1453900032855094,31.667,0.1-0.3,0.35460999671449056
1,3MSZA_000001,3MSZA,person flipped the light switch near the door.,24.3,30.4,20.33333396911621,31.33333396911621,0.5545454545454543,31.667,0.5-0.7,0.05454545454545434
2,3MSZA_000002,3MSZA,person turn the light switch on.,24.3,30.4,20.33333396911621,31.33333396911621,0.5545454545454543,31.667,0.5-0.7,0.05454545454545434
3,3MSZA_000003,3MSZA,person is playing with the switch for the light.,24.3,30.4,20.33333396911621,31.33333396911621,0.5545454545454543,31.667,0.5-0.7,0.05454545454545434
4,AMT7R_000004,AMT7R,a person is putting a picture onto the wall.,4.3,12.5,0.0,9.0,0.376,30.667,0.3-0.5,0.124
5,YVKIV_000005,YVKIV,the person puts down the bag.,4.4,9.2,0.3333333432674408,8.333333015441895,0.4436089872009873,32.334,0.3-0.5,0.05639101279901271
6,VXJS4_000006,VXJS4,a person walks through the doorway.,0.0,3.4,0.0,4.666666507720947,0.7285714533864244,30.667,0.7-0.9,0.22857145338642437
7,VXJS4_000007,VXJS4,a person opens the door.,0.0,4.0,0.0,5.0,0.8,30.667,0.7-0.9,0.30000000000000004
8,GBD1Y_000008,GBD1Y,person closes the door.,26.2,31.3,25.66666603088379,33.0,0.6954544851602655,33.334,0.5-0.7,0.19545448516026553
9,GBD1Y_000009,GBD1Y,person closing the door.,26.2,31.3,28.0,33.0,0.4852941176470589,33.334,0.3-0.5,0.014705882352941124
10,KVXJ9_000010,KVXJ9,person runs up the stairs.,1.0,11.0,24.0,31.0,0.0,31.334,0-0.1,0.5
11,KVXJ9_000011,KVXJ9,a person watches another run up some stairs.,1.0,11.0,0.0,7.0,0.5454545454545454,31.334,0.5-0.7,0.045454545454545414
12,E6DLK_000012,E6DLK,person runs to the window to look out.,9.3,14.4,18.0,25.33333396911621,0.0,27.667,0-0.1,0.5
13,E6DLK_000013,E6DLK,a person sits in a chair.,3.1,11.8,0.0,5.333333492279053,0.18926555019314004,27.667,0.1-0.3,0.31073444980685994
14,E6DLK_000014,E6DLK,person runs to the window.,9.3,14.4,0.0,13.666666984558105,0.30324076281653506,27.667,0.3-0.5,0.19675923718346494
15,E6DLK_000015,E6DLK,person runs to the door.,9.3,14.4,0.6666666865348816,5.333333492279053,0.0,27.667,0-0.1,0.5
16,E6DLK_000016,E6DLK,a person sits on a chair.,3.1,11.8,0.0,5.333333492279053,0.18926555019314004,27.667,0.1-0.3,0.31073444980685994
17,E6DLK_000017,E6DLK,the person sits in the chair momentarily.,3.1,11.8,0.3333333432674408,10.666666984558105,0.6598837492250111,27.667,0.5-0.7,0.15988374922501114
18,AKO6M_000018,AKO6M,a person stands in the bathroom holding a glass.,0.0,8.8,0.3333333432674408,9.666666984558105,0.8758620391348465,19.334,0.7-0.9,0.3758620391348465
19,AKO6M_000019,AKO6M,the person takes a bag from the bottom cabinet.,12.7,19.334,13.0,16.33333396911621,0.5024621599511925,19.334,0.5-0.7,0.0024621599511924774
20,F7TG5_000020,F7TG5,person sits in a chair.,13.2,20.8,14.666666984558105,21.0,0.7863247455694736,21.667,0.7-0.9,0.2863247455694736
21,F7TG5_000021,F7TG5,person sits down on a chair.,13.2,20.8,14.666666984558105,21.0,0.7863247455694736,21.667,0.7-0.9,0.2863247455694736
22,F7TG5_000022,F7TG5,person throwing a blanket onto the vacuum.,10.7,16.5,5.333333492279053,10.666666984558105,0.0,21.667,0-0.1,0.5
23,F7TG5_000023,F7TG5,person they throw their clothes on to a nearby desk.,6.9,13.1,5.666666507720947,10.666666984558105,0.50672648932952,21.667,0.5-0.7,0.0067264893295200245
24,KOVTR_000024,KOVTR,person they stand up.,10.2,19.8,15.666666984558105,35.33333206176758,0.16445622909385163,35.667,0.1-0.3,0.3355437709061484
25,KOVTR_000025,KOVTR,a person awakens in their sofa.,4.2,14.2,0.6666666865348816,10.333333015441895,0.453201947619178,35.667,0.3-0.5,0.04679805238082202
26,KOVTR_000026,KOVTR,person takes some medicine.,28.4,35.0,16.33333396911621,35.33333206176758,0.347368455923829,35.667,0.3-0.5,0.15263154407617102
27,FPJ9D_000027,FPJ9D,person sit on a chair.,25.8,34.0,26.33333396911621,33.66666793823242,0.8943090206239283,34.0,0.7-0.9,0.39430902062392825
28,5NV2Z_000028,5NV2Z,person takes a cup off a desk.,5.1,10.2,17.66666603088379,21.33333396911621,0.0,23.0,0-0.1,0.5
29,5NV2Z_000029,5NV2Z,person opens the front door.,13.2,23.0,11.0,14.0,0.06666666666666672,23.0,0-0.1,0.4333333333333333
30,5NV2Z_000030,5NV2Z,the person opens a door leading outside.,13.2,23.0,11.0,14.0,0.06666666666666672,23.0,0-0.1,0.4333333333333333
31,5NV2Z_000031,5NV2Z,a person takes a cup from a table.,5.1,10.2,0.3333333432674408,6.666666507720947,0.15878376783428946,23.0,0.1-0.3,0.3412162321657105
32,Y1HGC_000032,Y1HGC,a person walks in a doorway drinking some coffee.,0.2,9.8,0.0,8.333333015441895,0.8299319403512138,31.334,0.7-0.9,0.32993194035121376
