sample_idx,sample_id,video_id,query,gt_start,gt_end,pred_start,pred_end,iou,duration,iou_bucket,dist_to_05
0,3MSZA_000000,3MSZA,person turn a light on.,24.299999237060547,30.399999618530273,23.5,30.5,0.8714286088943481,31.66699981689453,0.7-0.9,0.37142860889434814
1,3MSZA_000001,3MSZA,person flipped the light switch near the door.,24.299999237060547,30.399999618530273,23.5,30.5,0.8714286088943481,31.66699981689453,0.7-0.9,0.37142860889434814
2,3MSZA_000002,3MSZA,person turn the light switch on.,24.299999237060547,30.399999618530273,23.5,30.5,0.8714286088943481,31.66699981689453,0.7-0.9,0.37142860889434814
3,3MSZA_000003,3MSZA,person is playing with the switch for the light.,24.299999237060547,30.399999618530273,23.5,30.5,0.8714286088943481,31.66699981689453,0.7-0.9,0.37142860889434814
4,AMT7R_000004,AMT7R,a person is putting a picture onto the wall.,4.300000190734863,12.5,0.5,9.5,0.43333330750465393,30.66699981689453,0.3-0.5,0.06666669249534607
5,YVKIV_000005,YVKIV,the person puts down the bag.,4.400000095367432,9.199999809265137,5.5,9.5,0.725490152835846,32.33399963378906,0.7-0.9,0.22549015283584595
6,VXJS4_000006,VXJS4,a person walks through the doorway.,0.0,3.4000000953674316,0.5,3.5,0.8285714387893677,30.66699981689453,0.7-0.9,0.3285714387893677
7,VXJS4_000007,VXJS4,a person opens the door.,0.0,4.0,0.5,3.5,0.75,30.66699981689453,0.7-0.9,0.25
8,GBD1Y_000008,GBD1Y,person closes the door.,26.200000762939453,31.299999237060547,25.5,31.5,0.849999725818634,33.33399963378906,0.7-0.9,0.34999972581863403
9,GBD1Y_000009,GBD1Y,person closing the door.,26.200000762939453,31.299999237060547,25.5,31.5,0.849999725818634,33.33399963378906,0.7-0.9,0.34999972581863403
10,KVXJ9_000010,KVXJ9,person runs up the stairs.,1.0,11.0,1.5,8.5,0.699999988079071,31.333999633789062,0.5-0.7,0.19999998807907104
11,KVXJ9_000011,KVXJ9,a person watches another run up some stairs.,1.0,11.0,1.5,8.5,0.699999988079071,31.333999633789062,0.5-0.7,0.19999998807907104
12,E6DLK_000012,E6DLK,person runs to the window to look out.,9.300000190734863,14.399999618530273,9.5,17.5,0.5975609421730042,27.66699981689453,0.5-0.7,0.09756094217300415
13,E6DLK_000013,E6DLK,a person sits in a chair.,3.0999999046325684,11.800000190734863,3.5,13.5,0.7980769872665405,27.66699981689453,0.7-0.9,0.2980769872665405
14,E6DLK_000014,E6DLK,person runs to the window.,9.300000190734863,14.399999618530273,9.5,17.5,0.5975609421730042,27.66699981689453,0.5-0.7,0.09756094217300415
15,E6DLK_000015,E6DLK,person runs to the door.,9.300000190734863,14.399999618530273,9.5,15.5,0.7903225421905518,27.66699981689453,0.7-0.9,0.29032254219055176
16,E6DLK_000016,E6DLK,a person sits on a chair.,3.0999999046325684,11.800000190734863,3.5,13.5,0.7980769872665405,27.66699981689453,0.7-0.9,0.2980769872665405
17,E6DLK_000017,E6DLK,the person sits in the chair momentarily.,3.0999999046325684,11.800000190734863,3.5,11.5,0.9195401668548584,27.66699981689453,0.9-1.0,0.4195401668548584
18,AKO6M_000018,AKO6M,a person stands in the bathroom holding a glass.,0.0,8.800000190734863,0.5,12.5,0.6640000343322754,19.333999633789062,0.5-0.7,0.1640000343322754
19,AKO6M_000019,AKO6M,the person takes a bag from the bottom cabinet.,12.699999809265137,19.333999633789062,9.5,15.5,0.28472650051116943,19.333999633789062,0.1-0.3,0.21527349948883057
20,F7TG5_000020,F7TG5,person sits in a chair.,13.199999809265137,20.799999237060547,11.5,16.5,0.3548387587070465,21.66699981689453,0.3-0.5,0.1451612412929535
21,F7TG5_000021,F7TG5,person sits down on a chair.,13.199999809265137,20.799999237060547,11.5,16.5,0.3548387587070465,21.66699981689453,0.3-0.5,0.1451612412929535
22,F7TG5_000022,F7TG5,person throwing a blanket onto the vacuum.,10.699999809265137,16.5,9.5,12.5,0.2571428716182709,21.66699981689453,0.1-0.3,0.24285712838172913
23,F7TG5_000023,F7TG5,person they throw their clothes on to a nearby desk.,6.900000095367432,13.100000381469727,10.5,16.5,0.2708333730697632,21.66699981689453,0.1-0.3,0.22916662693023682
24,KOVTR_000024,KOVTR,person they stand up.,10.199999809265137,19.799999237060547,6.5,11.5,0.09774438291788101,35.66699981689453,0-0.1,0.402255617082119
25,KOVTR_000025,KOVTR,a person awakens in their sofa.,4.199999809265137,14.199999809265137,0.5,10.5,0.45985403656959534,35.66699981689453,0.3-0.5,0.04014596343040466
26,KOVTR_000026,KOVTR,person takes some medicine.,28.399999618530273,35.0,17.5,24.5,0.0,35.66699981689453,0-0.1,0.5
27,FPJ9D_000027,FPJ9D,person sit on a chair.,25.799999237060547,34.0,27.5,33.5,0.7317072749137878,34.0,0.7-0.9,0.23170727491378784
28,5NV2Z_000028,5NV2Z,person takes a cup off a desk.,5.099999904632568,10.199999809265137,6.5,9.5,0.5882353186607361,23.0,0.5-0.7,0.08823531866073608
29,5NV2Z_000029,5NV2Z,person opens the front door.,13.199999809265137,23.0,7.5,14.5,0.08387097716331482,23.0,0-0.1,0.4161290228366852
30,5NV2Z_000030,5NV2Z,the person opens a door leading outside.,13.199999809265137,23.0,7.5,14.5,0.08387097716331482,23.0,0-0.1,0.4161290228366852
